et celui la ? 
:
# PHASE 1 : Algorithmes et Structures de Données (Weeks 19-34, 1120h, 16000 XP)

---

## Vue d'ensemble Phase 1

| Module | Semaines | Heures | XP | Contenu Principal |
|--------|----------|--------|-----|-------------------|
| 1.1 | 19-20 | 140h | 2000 | Arrays, Sorting & Searching |
| 1.2 | 21-22 | 140h | 2000 | Hash Tables & Strings |
| 1.3 | 23-24 | 140h | 2000 | Trees & Advanced Tree Structures |
| 1.4 | 25-26 | 140h | 2000 | Graphs |
| 1.5 | 27-28 | 140h | 2000 | Dynamic Programming |
| 1.6 | 29-30 | 140h | 2000 | Number Theory & Mathematics |
| 1.7 | 31-32 | 140h | 2000 | Advanced Algorithms & Techniques |
| 1.8 | 33-34 | 140h | 2000 | Testing, Quality & Competition Prep |
| **TOTAL** | **16 sem** | **1120h** | **16000** | **Algorithmes & DS Complets** |

---

## Module 1.1 : Arrays, Sorting & Searching (Weeks 19-20, 140h, 2000 XP)

### Sous-module 1.1.1 : Révision Architecture Mémoire
| # | Sous-sous-module | Contenu |
| i | Template versioning | Track template changes |

### 7.2.2.5 : TechDocs
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | TechDocs purpose | Documentation in developer portal |
| b | Docs as code | Markdown in repo |
| c | mkdocs.yml | Documentation configuration |
| d | Build process | Generate static docs |
| e | Storage | Object storage for docs |
| f | Search integration | Search across docs |
| g | Ownership | Documentation ownership |
| h | Auto-generation | Generate API docs |

### 7.2.2.6 : Backstage Plugins
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Plugin architecture | Extensible design |
| b | Core plugins | Catalog, templates, docs |
| c | Community plugins | Open source plugins |
| d | Custom plugins | Build your own |
| e | Frontend plugins | UI components |
| f | Backend plugins | API endpoints |
| g | Plugin marketplace | Discover plugins |
| h | Plugin development | Create new plugins |

### 7.2.2.7 : Portal Alternatives
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Port | Commercial developer portal |
| b | Cortex | Service catalog |
| c | OpsLevel | Service ownership |
| d | Compass | Atlassian developer experience |
| e | Custom portals | Build your own |
| f | Comparison criteria | Features, cost, flexibility |
| g | Evaluation process | How to choose |

---

## Sous-module 7.2.3 : Self-Service Infrastructure (35h)

### 7.2.3.1 : Self-Service Principles
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Self-service definition | Developers provision without tickets |
| b | Self-service benefits | Speed, autonomy, reduced ops load |
| c | Guardrails | Prevent misuse, ensure compliance |
| d | Approval workflows | When human approval needed |
| e | Quota management | Resource limits |
| f | Cost visibility | Show costs to requesters |
| g | Audit trails | Track who provisioned what |

### 7.2.3.2 : Infrastructure Abstractions
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Abstraction purpose | Hide complexity |
| b | Abstraction levels | Raw → managed → platform → application |
| c | Right abstraction | Balance flexibility and simplicity |
| d | Composition | Combine primitives into higher-level |
| e | Versioning | Version abstractions |
| f | Deprecation | Migrate to new versions |
| g | Documentation | Explain abstractions |

### 7.2.3.3 : Crossplane
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Crossplane overview | Kubernetes-native infrastructure management |
| b | Control plane | Kubernetes as infrastructure control plane |
| c | Providers | AWS, GCP, Azure, etc. |
| d | Managed resources | Cloud resources as K8s objects |
| e | Compositions | Combine resources into abstractions |
| f | CompositeResourceDefinitions (XRDs) | Define custom abstractions |
| g | Compositions | Implement XRDs with real resources |
| h | Claims | Request composed resources |
| i | EnvironmentConfigs | Inject environment data |
| j | Functions | Custom composition logic |

### 7.2.3.4 : Kratix
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Kratix overview | Platform-as-a-Product framework |
| b | Promises | Platform capabilities |
| c | Promise structure | API, workflows, dependencies |
| d | Pipelines | Customize resource creation |
| e | Resource requests | Request from Promise |
| f | Destinations | Where to deploy resources |
| g | Compound Promises | Combine Promises |

### 7.2.3.5 : Terraform Self-Service
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Terraform Cloud/Enterprise | Managed Terraform |
| b | Workspaces | Environment isolation |
| c | Private module registry | Share modules |
| d | Sentinel policies | Policy as code |
| e | Run triggers | Automated runs |
| f | Variable sets | Shared variables |
| g | RBAC | Access control |
| h | Cost estimation | Preview costs |
| i | Self-service module catalog | Developer-friendly modules |

### 7.2.3.6 : Pulumi Self-Service
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Pulumi overview | Infrastructure as real code |
| b | Languages | TypeScript, Python, Go, C# |
| c | Automation API | Embed Pulumi in applications |
| d | Self-service with Automation API | Build custom interfaces |
| e | Pulumi Cloud | Managed service |
| f | Component resources | Build abstractions |
| g | Multi-language packages | Share components |

### 7.2.3.7 : Database Self-Service
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Database-as-a-Service | Self-service databases |
| b | Database operators | Kubernetes operators for databases |
| c | CloudNativePG | PostgreSQL operator |
| d | Vitess | MySQL operator |
| e | MongoDB Community Operator | MongoDB on K8s |
| f | Schema management | Self-service schema changes |
| g | Backup self-service | Request backups |
| h | Access management | Database credentials |

---

## Sous-module 7.2.4 : CI/CD Platform (35h)

### 7.2.4.1 : CI/CD as Platform
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | CI/CD platform | Shared CI/CD infrastructure |
| b | Pipeline templates | Reusable pipeline definitions |
| c | Pipeline standardization | Consistent pipeline structure |
| d | Self-service pipelines | Developers configure pipelines |
| e | Pipeline governance | Enforce policies |
| f | Pipeline observability | Monitor pipeline health |
| g | Pipeline optimization | Faster pipelines |

### 7.2.4.2 : Pipeline Templates
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Template purpose | Reusable pipeline components |
| b | GitHub Actions reusable workflows | Shared workflows |
| c | GitLab CI templates | Include templates |
| d | Jenkins shared libraries | Groovy libraries |
| e | Tekton pipeline templates | K8s-native templates |
| f | Argo Workflows templates | K8s workflow templates |
| g | Template versioning | Version and release templates |
| h | Template testing | Validate templates |

### 7.2.4.3 : Pipeline Security
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Secrets management | Secure secrets in pipelines |
| b | OIDC authentication | Workload identity |
| c | Least privilege | Minimal permissions |
| d | Supply chain security | SLSA, Sigstore |
| e | Artifact signing | Sign build outputs |
| f | SBOM generation | Software bill of materials |
| g | Vulnerability scanning | Scan in pipeline |
| h | Policy enforcement | OPA, Kyverno |

### 7.2.4.4 : Build Optimization
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Build caching | Cache dependencies |
| b | Incremental builds | Only rebuild changed |
| c | Parallel builds | Run in parallel |
| d | Remote build execution | Distributed builds |
| e | Bazel | Fast, correct builds |
| f | Nx | Monorepo build system |
| g | Turborepo | JavaScript monorepo |
| h | Build metrics | Track build performance |

### 7.2.4.5 : GitOps
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | GitOps principles | Git as source of truth |
| b | ArgoCD | Kubernetes GitOps |
| c | Flux | Alternative GitOps |
| d | Application Sets | Multi-cluster deployments |
| e | Sync strategies | Auto, manual, pruning |
| f | Health checks | Application health |
| g | Notifications | GitOps alerts |
| h | GitOps security | RBAC, secrets |

### 7.2.4.6 : Progressive Delivery
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Progressive delivery | Gradual rollout |
| b | Argo Rollouts | K8s progressive delivery |
| c | Flagger | Progressive delivery with Istio |
| d | Canary analysis | Automated canary promotion |
| e | Blue-green automation | Automated blue-green |
| f | Feature flags integration | Combine with feature flags |
| g | Rollback automation | Auto-rollback on failure |

### 7.2.4.7 : Feature Flags Platform
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Feature flags | Toggle features without deployment |
| b | LaunchDarkly | Commercial feature flags |
| c | Unleash | Open source feature flags |
| d | OpenFeature | Standard API |
| e | Flag types | Boolean, string, number, JSON |
| f | Targeting rules | User segments |
| g | Percentage rollouts | Gradual enable |
| h | Flag governance | Flag lifecycle |
| i | Flag cleanup | Remove stale flags |

---

## Sous-module 7.2.5 : Environment Management (35h)

### 7.2.5.1 : Environment Strategies
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Environment types | Development, staging, production |
| b | Environment parity | Keep environments similar |
| c | Environment isolation | Separate environments |
| d | Ephemeral environments | Temporary environments |
| e | Preview environments | Per-PR environments |
| f | Environment promotion | Promote through environments |
| g | Environment configuration | Environment-specific config |

### 7.2.5.2 : Ephemeral Environments
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Ephemeral definition | Temporary, on-demand |
| b | Use cases | PR review, testing, demos |
| c | Provisioning | Automated creation |
| d | Lifecycle | Create → use → destroy |
| e | Cost management | Destroy unused |
| f | Tooling | Bunnyshell, Qovery, Garden |
| g | Kubernetes namespaces | Namespace per environment |

### 7.2.5.3 : Local Development
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Local development challenges | Parity with production |
| b | Docker Compose | Local multi-service |
| c | Kubernetes local | Kind, Minikube, Docker Desktop |
| d | Telepresence | Connect local to cluster |
| e | Skaffold | K8s development workflow |
| f | Tilt | Local K8s development |
| g | DevContainers | Container-based development |
| h | Codespaces/GitPod | Cloud development environments |

### 7.2.5.4 : Namespace Management
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Namespace strategy | How to organize namespaces |
| b | Namespace per team | Team isolation |
| c | Namespace per environment | Environment isolation |
| d | Namespace per service | Service isolation |
| e | Multi-tenancy | Share cluster between teams |
| f | Hierarchical namespaces | Namespace hierarchy |
| g | Namespace quotas | Resource limits |
| h | Namespace policies | Security policies |

### 7.2.5.5 : Configuration Management
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Configuration challenges | Environment-specific config |
| b | ConfigMaps | Kubernetes configuration |
| c | Kustomize | K8s configuration customization |
| d | Helm values | Chart configuration |
| e | External secrets | Secrets from external stores |
| f | Config validation | Validate configuration |
| g | Config drift detection | Detect configuration changes |
| h | GitOps for config | Config in Git |

### 7.2.5.6 : Secrets Management Platform
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Secrets platform | Centralized secrets |
| b | HashiCorp Vault | Secret management |
| c | AWS Secrets Manager | AWS-native secrets |
| d | External Secrets Operator | K8s external secrets |
| e | Vault Secrets Operator | Vault for K8s |
| f | Secret rotation | Automatic rotation |
| g | Secret access audit | Who accessed what |
| h | Dynamic secrets | On-demand credentials |

---

## Sous-module 7.2.6 : Developer Metrics & Productivity (35h)

### 7.2.6.1 : DORA Metrics
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | DORA overview | DevOps Research and Assessment |
| b | Deployment frequency | How often deployments |
| c | Lead time for changes | Time from commit to production |
| d | Change failure rate | Percentage causing incidents |
| e | Time to restore service | MTTR |
| f | DORA benchmarks | Elite, high, medium, low |
| g | DORA measurement | How to calculate |
| h | DORA improvement | How to improve metrics |

### 7.2.6.2 : SPACE Framework
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | SPACE overview | Developer productivity framework |
| b | Satisfaction and wellbeing | How developers feel |
| c | Performance | Quality of outcomes |
| d | Activity | Counts of outputs |
| e | Communication and collaboration | How people work together |
| f | Efficiency and flow | Uninterrupted work |
| g | Measuring SPACE | Surveys, metrics |
| h | Balancing dimensions | No single metric |

### 7.2.6.3 : Developer Surveys
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Survey purpose | Understand developer experience |
| b | Survey design | Effective questions |
| c | Survey frequency | How often to survey |
| d | Survey analysis | Analyze results |
| e | Action planning | Respond to feedback |
| f | NPS for platform | Net Promoter Score |
| g | Qualitative feedback | Open-ended questions |

### 7.2.6.4 : Engineering Intelligence
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Engineering metrics platforms | LinearB, Jellyfish, Sleuth |
| b | Commit metrics | Commit frequency, size |
| c | PR metrics | Review time, iterations |
| d | Deployment metrics | Frequency, success rate |
| e | Incident correlation | Deployments and incidents |
| f | Team comparisons | Benchmark teams |
| g | Individual metrics | Careful use |

### 7.2.6.5 : Cost Allocation
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Cloud cost allocation | Attribute costs to teams |
| b | Tagging strategy | Tags for cost allocation |
| c | Showback | Show costs to teams |
| d | Chargeback | Charge costs to teams |
| e | Unit economics | Cost per transaction |
| f | Cost dashboards | Team cost visibility |
| g | Cost anomalies | Alert on unusual spending |
| h | FinOps practices | Cloud financial management |

### 7.2.6.6 : Platform Adoption Metrics
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Adoption tracking | Who uses platform |
| b | Feature adoption | Which features used |
| c | Template usage | Which templates popular |
| d | Self-service success | Requests completed without help |
| e | Time to first deployment | New service onboarding |
| f | Support tickets | Platform support load |
| g | Platform NPS | Developer satisfaction |

---

## Sous-module 7.2.7 : Multi-Cloud & Hybrid (35h)

### 7.2.7.1 : Multi-Cloud Strategy
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Multi-cloud definition | Multiple cloud providers |
| b | Multi-cloud reasons | Vendor lock-in, best-of-breed, compliance |
| c | Multi-cloud challenges | Complexity, skills, cost |
| d | Multi-cloud patterns | Active-active, active-passive |
| e | Cloud-agnostic design | Portable applications |
| f | Multi-cloud networking | Cross-cloud connectivity |
| g | Multi-cloud identity | Federated identity |

### 7.2.7.2 : Hybrid Cloud
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Hybrid definition | On-premises + cloud |
| b | Hybrid reasons | Data sovereignty, latency, legacy |
| c | Hybrid patterns | Burst, tier, partition |
| d | Hybrid connectivity | VPN, Direct Connect |
| e | Hybrid identity | Identity synchronization |
| f | Hybrid data | Data placement decisions |
| g | Hybrid management | Unified management |

### 7.2.7.3 : Multi-Cluster Kubernetes
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Multi-cluster reasons | Isolation, geography, scale |
| b | Cluster API | Manage K8s clusters as K8s |
| c | Rancher | Multi-cluster management |
| d | OpenShift | Enterprise Kubernetes |
| e | Tanzu | VMware Kubernetes |
| f | Anthos | Google hybrid platform |
| g | EKS Anywhere | AWS on-premises |
| h | AKS Arc | Azure Arc-enabled K8s |

### 7.2.7.4 : Cross-Cluster Networking
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Multi-cluster networking | Connect clusters |
| b | Submariner | Cross-cluster networking |
| c | Cilium Cluster Mesh | eBPF multi-cluster |
| d | Istio multi-cluster | Service mesh multi-cluster |
| e | Skupper | Layer 7 multi-cluster |
| f | Global load balancing | Route across clusters |
| g | DNS for multi-cluster | Cross-cluster discovery |

### 7.2.7.5 : Edge Computing
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Edge computing | Compute at edge locations |
| b | Edge use cases | IoT, latency, bandwidth |
| c | K3s | Lightweight Kubernetes |
| d | KubeEdge | Kubernetes for edge |
| e | Edge deployment | Deploy to edge locations |
| f | Edge management | Manage edge fleet |
| g | Edge-cloud sync | Synchronize edge and cloud |

---

## LeetCode Module 7.2 (20h)

| # | Problème | Difficulté | Thème Platform |
|---|----------|------------|----------------|
| 1 | LC 146 LRU Cache | Medium | Template caching |
| 2 | LC 208 Implement Trie | Medium | Service catalog search |
| 3 | LC 211 Design Add and Search Words | Medium | Catalog search |
| 4 | LC 642 Design Search Autocomplete | Hard | Portal search |
| 5 | LC 588 Design In-Memory File System | Hard | Template storage |
| 6 | LC 1166 Design File System | Medium | Environment management |
| 7 | LC 355 Design Twitter | Medium | Activity feed |
| 8 | LC 635 Design Log Storage System | Medium | Audit logging |
| 9 | Implement service catalog API | Custom | Backstage-like |
| 10 | Implement template engine | Custom | Scaffolding |
| 11 | Implement cost allocator | Custom | FinOps |
| 12 | Implement metrics aggregator | Custom | DORA metrics |

---

## PROJET 7.2 : Internal Developer Platform (64h)

### Architecture du Projet
```
Internal Developer Platform
├── Developer Portal (Backstage-based)
│   ├── Software Catalog
│   │   ├── Service registration
│   │   ├── API catalog
│   │   ├── Dependency graph
│   │   └── Search and filter
│   │
│   ├── Software Templates
│   │   ├── Service templates
│   │   ├── Library templates
│   │   ├── Infrastructure templates
│   │   └── Template marketplace
│   │
│   ├── TechDocs
│   │   ├── Service documentation
│   │   ├── API documentation
│   │   └── Runbook documentation
│   │
│   └── Plugins
│       ├── Kubernetes plugin
│       ├── CI/CD plugin
│       ├── Cost plugin
│       └── Custom plugins
│
├── Self-Service Infrastructure
│   ├── Database provisioning
│   ├── Cache provisioning
│   ├── Storage provisioning
│   └── Environment creation
│
├── CI/CD Platform
│   ├── Pipeline templates
│   ├── GitOps with ArgoCD
│   ├── Progressive delivery
│   └── Feature flags
│
├── Environment Management
│   ├── Namespace provisioning
│   ├── Ephemeral environments
│   ├── Configuration management
│   └── Secrets management
│
└── Metrics & Analytics
    ├── DORA metrics dashboard
    ├── Cost allocation
    ├── Platform adoption
    └── Developer surveys
```

### Livrables Détaillés

| # | Livrable | Heures | Description |
|---|----------|--------|-------------|
| 1 | Backstage setup | 8h | Deploy and configure Backstage |
| 2 | Software catalog | 6h | Service registration and discovery |
| 3 | Service templates | 8h | Create 3+ service templates |
| 4 | TechDocs integration | 4h | Documentation in portal |
| 5 | Self-service databases | 8h | Database provisioning via Crossplane or operators |
| 6 | Pipeline templates | 6h | Reusable CI/CD templates |
| 7 | GitOps setup | 6h | ArgoCD configuration |
| 8 | Environment provisioning | 6h | Ephemeral environment creation |
| 9 | Secrets management | 4h | External Secrets integration |
| 10 | DORA dashboard | 4h | Metrics visualization |
| 11 | Integration tests | 2h | End-to-end testing |
| 12 | Documentation | 2h | Platform user guide |

### Technologies
- Portal: Backstage
- Infrastructure: Crossplane ou Terraform
- GitOps: ArgoCD
- CI/CD: GitHub Actions
- Secrets: External Secrets Operator + Vault
- Metrics: Prometheus + Grafana
- Database: PostgreSQL (catalog)

---

# MODULE 7.3 : DevSecOps & Compliance (280h, 4000 XP)

## Vue d'ensemble

Ce module forme des Security Engineers capables d'intégrer la sécurité dans tout le cycle de développement et de gérer la conformité à grande échelle.

### Références
| Source | Contenu |
|--------|---------|
| OWASP DevSecOps Guidelines | Security practices |
| NIST Cybersecurity Framework | Security framework |
| CIS Benchmarks | Security baselines |
| SLSA | Supply chain security |

---

## Sous-module 7.3.1 : Security in CI/CD (35h)

### 7.3.1.1 : Shift-Left Security
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Shift-left definition | Security earlier in SDLC |
| b | Traditional vs shift-left | Late vs early security |
| c | Developer responsibility | Developers own security |
| d | Security as code | Automate security checks |
| e | Security gates | Required security checks |
| f | Fast feedback | Quick security feedback |
| g | Security training | Developer security education |
| h | Security champions | Security advocates in teams |

### 7.3.1.2 : Static Application Security Testing (SAST)
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | SAST definition | Analyze source code |
| b | SAST tools | SonarQube, Semgrep, CodeQL |
| c | Language support | Tool language coverage |
| d | Rule customization | Custom security rules |
| e | False positives | Managing noise |
| f | CI integration | SAST in pipelines |
| g | IDE integration | Real-time feedback |
| h | Baseline | Ignore existing issues |
| i | Remediation guidance | Help fix issues |

### 7.3.1.3 : Software Composition Analysis (SCA)
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | SCA definition | Analyze dependencies |
| b | Vulnerability databases | NVD, OSV, GitHub Advisory |
| c | SCA tools | Snyk, Dependabot, Trivy |
| d | License compliance | Open source licenses |
| e | Transitive dependencies | Nested dependencies |
| f | SBOM | Software Bill of Materials |
| g | Remediation | Update vulnerable dependencies |
| h | Risk scoring | Prioritize vulnerabilities |
| i | Dependency policies | Allowed/blocked dependencies |

### 7.3.1.4 : Container Security
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Image scanning | Scan container images |
| b | Scanning tools | Trivy, Grype, Clair |
| c | Base image selection | Minimal, trusted bases |
| d | Image hardening | Reduce attack surface |
| e | Distroless images | No shell, minimal packages |
| f | Image signing | Cosign, Notary |
| g | Image policies | Require signed images |
| h | Registry security | Secure image storage |
| i | Runtime scanning | Continuous scanning |

### 7.3.1.5 : Infrastructure as Code Security
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | IaC security | Secure infrastructure code |
| b | IaC scanning tools | Checkov, tfsec, Terrascan |
| c | Misconfigurations | Common IaC mistakes |
| d | Compliance checking | CIS, NIST checks |
| e | Policy as code | Define policies in code |
| f | Pre-commit hooks | Check before commit |
| g | CI integration | IaC scanning in pipelines |
| h | Drift detection | Detect configuration drift |

### 7.3.1.6 : Secret Detection
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Secret scanning | Find secrets in code |
| b | Secret patterns | API keys, passwords, tokens |
| c | Scanning tools | GitLeaks, TruffleHog, detect-secrets |
| d | Pre-commit scanning | Block commits with secrets |
| e | Historical scanning | Scan Git history |
| f | GitHub secret scanning | Built-in scanning |
| g | Remediation | Rotate exposed secrets |
| h | Prevention | Use proper secret management |

### 7.3.1.7 : Dynamic Application Security Testing (DAST)
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | DAST definition | Test running application |
| b | DAST tools | OWASP ZAP, Burp Suite |
| c | Automated scanning | CI/CD integration |
| d | Authenticated scanning | Test behind auth |
| e | API testing | Test APIs |
| f | Coverage | What DAST finds |
| g | False positives | Validate findings |
| h | Remediation | Fix runtime issues |

---

## Sous-module 7.3.2 : Supply Chain Security (35h)

### 7.3.2.1 : Supply Chain Threats
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Supply chain attacks | Compromise build/deploy |
| b | Attack vectors | Dependencies, build, deploy |
| c | Notable attacks | SolarWinds, Codecov, ua-parser-js |
| d | Dependency confusion | Private vs public packages |
| e | Typosquatting | Misspelled packages |
| f | Compromised maintainers | Hijacked accounts |
| g | Build system attacks | Compromise CI/CD |
| h | Registry attacks | Compromise package registries |

### 7.3.2.2 : SLSA Framework
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | SLSA overview | Supply-chain Levels for Software Artifacts |
| b | SLSA levels | Level 0-4 |
| c | Level 1 | Documentation of build |
| d | Level 2 | Hosted, signed provenance |
| e | Level 3 | Hardened builds |
| f | Level 4 | Two-party review |
| g | Provenance | Build attestation |
| h | SLSA adoption | Implementing SLSA |

### 7.3.2.3 : Build Provenance
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Provenance definition | Where artifact came from |
| b | in-toto | Supply chain attestation framework |
| c | Attestation format | DSSE (Dead Simple Signing Envelope) |
| d | GitHub attestations | Native GitHub provenance |
| e | Provenance verification | Verify before deploy |
| f | Provenance storage | Where to store attestations |

### 7.3.2.4 : Sigstore
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Sigstore overview | Keyless signing |
| b | Cosign | Container signing |
| c | Fulcio | Certificate authority |
| d | Rekor | Transparency log |
| e | Keyless signing | OIDC-based identity |
| f | Verification | Verify signatures |
| g | Policy enforcement | Require signatures |

### 7.3.2.5 : Software Bill of Materials (SBOM)
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | SBOM definition | Inventory of components |
| b | SBOM formats | SPDX, CycloneDX |
| c | SBOM generation | Create SBOMs |
| d | SBOM tools | Syft, Trivy, SPDX tools |
| e | SBOM sharing | Share with customers |
| f | SBOM consumption | Use SBOMs for analysis |
| g | SBOM requirements | Regulatory requirements |
| h | VEX | Vulnerability Exploitability eXchange |

### 7.3.2.6 : Dependency Management
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Dependency pinning | Lock dependency versions |
| b | Lock files | package-lock.json, Cargo.lock |
| c | Reproducible builds | Same input = same output |
| d | Private registries | Internal package registries |
| e | Dependency review | Review before adding |
| f | Update policies | How often to update |
| g | Automated updates | Dependabot, Renovate |
| h | Update testing | Test updates before merge |

### 7.3.2.7 : Build Hardening
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Hermetic builds | Isolated build environment |
| b | Reproducible builds | Deterministic outputs |
| c | Build isolation | No network, limited access |
| d | Build secrets | Secure secret injection |
| e | Build attestation | Sign build outputs |
| f | Build logs | Audit trail |
| g | Builder verification | Verify build system |

---

## Sous-module 7.3.3 : Runtime Security (35h)

### 7.3.3.1 : Kubernetes Security Fundamentals
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | K8s security model | Defense in depth |
| b | Authentication | Who are you |
| c | Authorization | What can you do |
| d | Admission control | What can be deployed |
| e | Network policies | Network segmentation |
| f | Pod security | Container restrictions |
| g | Secrets management | Secure secrets |
| h | Audit logging | Security events |

### 7.3.3.2 : Pod Security Standards
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Pod Security Standards | K8s pod security |
| b | Privileged | No restrictions |
| c | Baseline | Minimal restrictions |
| d | Restricted | Hardened security |
| e | Pod Security Admission | Enforce standards |
| f | Namespace labels | Apply standards to namespaces |
| g | Migration | Move to restricted |

### 7.3.3.3 : Runtime Threat Detection
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Runtime security | Detect threats at runtime |
| b | Falco | Cloud-native runtime security |
| c | Falco rules | Define detection rules |
| d | System calls | Monitor syscalls |
| e | Behavioral detection | Detect anomalies |
| f | Container escape | Detect container breakout |
| g | Cryptomining detection | Detect mining |
| h | Alerting | Alert on threats |

### 7.3.3.4 : Network Security
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Network policies | K8s network segmentation |
| b | Default deny | Deny by default |
| c | Ingress policies | Inbound traffic rules |
| d | Egress policies | Outbound traffic rules |
| e | Cilium network policies | Advanced policies |
| f | Service mesh security | Istio authorization |
| g | mTLS | Mutual TLS everywhere |
| h | Certificate management | cert-manager |

### 7.3.3.5 : Secrets Security
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | K8s secrets limitations | Base64 is not encryption |
| b | Secrets encryption | Encrypt at rest |
| c | External secrets | HashiCorp Vault, AWS Secrets Manager |
| d | Secret injection | How to inject secrets |
| e | Secret rotation | Automatic rotation |
| f | Secret audit | Who accessed secrets |
| g | Zero-trust secrets | Just-in-time access |

### 7.3.3.6 : Image Security at Runtime
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Image admission | Control allowed images |
| b | Image policies | Kyverno, OPA Gatekeeper |
| c | Signature verification | Verify image signatures |
| d | Registry restrictions | Allow only trusted registries |
| e | Tag restrictions | Require digests, not tags |
| f | Vulnerability policies | Block vulnerable images |
| g | Continuous scanning | Scan running images |

### 7.3.3.7 : Workload Hardening
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Least privilege | Minimal permissions |
| b | Non-root containers | Run as non-root |
| c | Read-only filesystem | Immutable containers |
| d | Capability dropping | Remove Linux capabilities |
| e | Seccomp profiles | System call filtering |
| f | AppArmor/SELinux | Mandatory access control |
| g | Resource limits | Prevent resource abuse |

---

## Sous-module 7.3.4 : Policy as Code (35h)

### 7.3.4.1 : Policy as Code Fundamentals
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Policy as code definition | Define policies in code |
| b | Benefits | Version control, testing, automation |
| c | Policy types | Security, compliance, operational |
| d | Policy lifecycle | Write, test, deploy, enforce |
| e | Policy exceptions | Handle exceptions |
| f | Policy governance | Policy ownership |

### 7.3.4.2 : Open Policy Agent (OPA)
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | OPA overview | General-purpose policy engine |
| b | Rego | OPA policy language |
| c | Rego basics | Rules, queries, data |
| d | Rego packages | Organize policies |
| e | Policy testing | Test policies |
| f | OPA evaluation | Policy decision API |
| g | Data | External data for decisions |
| h | Bundles | Package and distribute policies |

### 7.3.4.3 : OPA Gatekeeper
| # | Concept | Contenu détaillé |
|---|---------|------------------|
| a | Gatekeeper overview | OPA for Kubernetes |
| b | Constraint Templates | Define policy templates |
